fid,place,wikipedia,wikidata,name,present,dimensions,interpreted
"669",village,it:San Giorgio a Colonica,Q2183232,San Giorgio a Colonica,,,
"670",village,,,Capraia Fiorentina,false,,
"671",village,it:Ginestra Fiorentina,Q18486951,Ginestra Fiorentina,,,
"672",village,,,Limite sull'Arno,,,
"673",village,it:Malmantile,Q3843959,Malmantile,,,
"674",village,,Q111765720,La Serra,,,
"675",village,,,Lucolena in Chianti,,,
"676",village,it:Campiglia dei Foci,Q2189007,Campiglia dei Foci,,,
"677",village,it:Castel San Gimignano,Q3133552,Castel San Gimignano,,,
"678",village,,,Mensano,,,
"679",village,it:Monteguidi,Q18491780,Monteguidi,,,
"680",village,it:Quartaia,Q2657685,Quartaia,,,
"682",village,it:Antella (Bagno a Ripoli),Q18486358,Antella,,,
"683",village,it:Compiobbi,Q3685134,Compiobbi,,,
"684",village,,,Le Palaie,,,
"685",village,it:Molino del Piano,Q1884668,Molino del Piano,,,
"686",village,,,San Jacopo al Girone,,,
"687",village,,Q18487343,San Francesco,,,
"689",village,it:Forcoli,Q652620,Forcoli,,,
"690",village,it:Stagno (Collesalvetti),Q2874832,Stagno,,,
"691",village,it:Guasticce,Q3778447,Guasticce,,,
"692",village,it:Nugola,Q2655677,Nugola,,,
"693",village,it:Castell'Anselmo,Q3662219,Castell'Anselmo,,,
"694",village,it:Parrana San Martino,Q2686564,Parrana San Martino,,,
"695",village,,,Sughera,,,
"696",village,it:Panzano in Chianti,Q3893502,Panzano in Chianti,,,
"698",village,,,Monte Donato,,,
"699",village,en:Montepiano,Q6905257,Montepiano,true,"1",
"700",village,,,Badi,true,"1",
"701",village,,,Baigno,true,"1",
"702",village,,,Bargi,,,
"703",village,it:Suviana,Q2446386,Suviana,,,
"705",village,it:Asciano Pisano,Q3624858,Asciano,,,
"706",village,,Q16538972,Cerbaia in Val di Pesa,,,
"707",village,,,Chiesanuova,,,
"708",village,,,Montagnana,,,
"709",village,,Q85864732,La Romola,,,
"710",village,,Q18487373,San Vincenzo a Torri,,,
"711",village,it:Tavarnuzze,Q3981579,Tavarnuzze,,,
"712",village,it:Grassina,Q18486956,Grassina,,,
"713",village,,Q18490036,Le Badie,,,
"714",village,it:Castelnuovo della Misericordia,Q3663017,Castelnuovo Misericordia,,,
"715",village,it:Colognole (Collesalvetti),Q18488058,Colognole,,,
"716",village,,,Crocino,,,
"717",village,,Q18490194,Fiorino,,,
"718",village,it:La California,Q2180646,La California,,,
"719",village,,Q18490342,Malandrone,,,
"720",village,it:Nibbiaia,Q3875791,Nibbiaia,,,
"721",village,it:Pieve Santa Luce,Q18490446,Pieve di Santa Luce,,,
"722",village,it:Quercianella,Q3927690,Quercianella,,,
"723",village,it:Voltana,Q4016324,Voltana,,,
"724",village,en:Lecchi in Chianti,Q28783755,Lecchi,,,
"725",village,,Q18491801,Monti,,,
"726",village,it:Castelnuovo dei Sabbioni,Q3663015,Castelnuovo dei Sabbioni,,,
"727",village,en:Montegrossi,Q18491779,Montegrossi,,,
"728",village,,,San Cipriano-Santa Barbara-Cetinale,,,
"729",village,it:Pastina (Santa Luce),Q18490430,Pastina,,,
"730",village,it:Pomaia,Q1094154,Pomaia,,,
"731",village,"sh:Codrignano, Bologna",Q18438288,Codrignano,,,
"732",village,,Q42275607,Veggia,,,
"733",village,it:Casal Borsetti,Q525938,Casalborsetti,,,
"734",village,,Q18446274,Sant'Alberto,,,
"736",village,it:San Patrizio (Conselice),Q3947772,San Patrizio,,,
"740",village,it:Marina di Pietrasanta,Q1083038,Marina di Pietrasanta,,,
"742",village,,Q18438062,Boschetto,,,
"743",village,,,Castiglia,,,
"744",village,,,Diacceto,,,
"745",village,it:Tosi (Reggello),Q18487493,Tosi,,,
"746",village,,Q56575811,Casoli,,,
"747",village,it:Portile,Q17651480,Portile,,,
"748",village,it:Montale Rangone,Q2802661,Montale Rangone,,,
"749",village,,,San Vito,,,
"751",village,,,Arca en Ciel onlus,,,
"752",village,,,San Quirico in Collina,,,
"754",village,it:Santa Maria del Giudice,Q54864469,Santa Maria del Giudice,,,
"755",village,it:Gello (San Giuliano Terme),Q18490213,Gello,,,
"756",village,,Q27554367,Settecani,,,
"757",village,it:Calcara (Crespellano),Q18438148,Calcara,,,
"758",village,it:Piumazzo,Q2677876,Piumazzo,,,
"759",village,,Q18441629,San Damaso,,,
"760",village,,Q18440466,Baggiovara,,,
"761",village,,Q37996048,Casinalbo,,,
"762",village,,,Cavidole,,,
